team,season,points,yards,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
NYG,2022,365,5676,38,29,3,75,16,0,177,15,1,0,0,1
NYJ,2022,296,5409,28,30,7,83,23,2,194,21,0,0,0,0
PHI,2022,477,6614,57,22,3,56,19,0,186,28,1,0,0,1
PIT,2022,308,5484,28,34,10,69,19,0,177,17,0,0,0,0
SF,2022,450,6216,50,27,5,61,17,0,186,26,0,0,0,1
SEA,2022,407,5976,42,34,3,66,23,0,187,19,0,0,0,1
TB,2022,313,5894,31,31,7,79,22,0,194,24,0,0,0,1
TEN,2022,298,5045,32,20,4,90,23,0,190,21,0,0,0,0
WAS,2022,321,5615,33,25,5,83,23,1,197,27,0,0,0,0
ARI,2023,330,5509,35,28,5,64,18,0,180,30,0,0,0,0
ATL,2023,321,5683,31,32,5,75,28,1,196,24,0,0,0,0
BAL,2023,483,6296,53,32,5,67,19,1,197,19,1,0,0,1
BUF,2023,451,6366,51,24,5,51,28,0,181,22,0,0,0,1
CAR,2023,236,4510,20,25,5,82,20,0,180,28,0,0,0,0
CHI,2023,360,5495,35,35,3,67,25,0,184,19,0,0,0,0
CIN,2023,366,5422,39,26,5,76,16,0,188,26,0,0,0,0
CLE,2023,396,5710,39,34,3,90,37,0,222,19,0,0,0,1
DAL,2023,509,6317,50,36,2,44,16,1,169,20,0,0,0,1
DEN,2023,357,5072,36,30,4,79,22,1,189,17,0,0,0,0
DET,2023,461,6712,57,19,2,57,23,1,187,28,0,0,0,1
GB,2023,383,5873,42,27,6,57,18,0,174,24,0,0,0,1
HOU,2023,377,5820,37,34,4,80,14,0,191,22,0,0,0,1
IND,2023,396,5725,37,33,8,69,22,1,196,25,1,0,0,0
JAX,2023,377,5772,39,30,7,61,30,0,195,28,0,0,0,0
KC,2023,371,5972,37,33,2,59,28,0,178,19,0,0,0,1
LV,2023,332,4922,31,26,4,75,24,1,179,18,0,0,0,0
LAC,2023,346,5599,35,31,2,75,21,0,190,26,0,0,0,0
LAR,2023,404,6108,44,32,11,64,18,2,185,13,1,0,0,1
MIA,2023,496,6822,57,24,4,53,25,0,186,23,0,0,0,1
MIN,2023,344,5912,37,24,6,60,34,0,179,18,0,0,0,0
NE,2023,236,4696,25,16,9,98,29,1,203,25,0,0,0,0
NO,2023,402,5732,41,30,7,75,18,0,194,23,0,0,0,0
NYG,2023,266,4760,25,22,9,95,19,0,199,29,0,0,0,0
NYJ,2023,268,4566,18,36,3,99,33,3,208,16,0,0,0,0
PHI,2023,433,6024,46,30,2,52,28,1,177,18,0,0,0,1
PIT,2023,304,5173,29,29,2,89,16,1,194,28,0,0,0,1
SF,2023,491,6773,60,21,4,52,18,1,179,23,0,0,0,1
SEA,2023,364,5490,34,35,7,66,17,0,178,19,0,0,0,0
TB,2023,348,5321,36,29,2,77,18,1,183,20,0,0,0,1
TEN,2023,305,4913,30,29,1,80,20,0,181,20,1,0,0,0
WAS,2023,329,5317,38,19,5,75,32,0,197,26,2,0,0,0
