team,season,points,yards,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
NYG,2004,347,5187,41,20,5,77,28,0,191,20,0,0,0,0
NYJ,2004,261,4878,29,16,3,89,33,1,178,7,0,0,0,1
PHI,2004,260,5115,29,17,7,89,28,0,183,13,0,0,0,1
PIT,2004,251,4134,22,23,4,79,32,0,174,14,0,0,0,1
SF,2004,452,5481,49,25,4,80,21,0,195,16,0,0,0,0
SEA,2004,373,5621,41,27,5,74,35,1,193,10,0,0,0,1
TB,2004,304,4552,29,20,11,87,27,0,187,13,0,0,0,0
TEN,2004,439,5724,47,23,5,74,30,3,192,10,0,0,0,0
WAS,2004,265,4281,24,17,3,104,26,1,198,23,0,0,0,0
ARI,2005,387,4729,39,21,3,85,26,1,198,23,0,0,0,0
ATL,2005,341,5200,36,25,5,79,29,0,190,16,0,0,0,0
BAL,2005,299,4549,26,29,2,89,26,1,190,17,0,0,0,0
BUF,2005,367,5496,41,19,6,62,30,1,177,18,0,0,0,0
CAR,2005,259,4522,24,23,4,79,42,0,187,15,0,0,0,1
CHI,2005,202,4509,19,21,8,97,34,0,203,24,0,0,0,1
CIN,2005,350,5419,37,25,3,50,44,0,179,20,0,0,0,1
CLE,2005,301,5069,30,28,7,72,23,0,179,19,0,0,0,0
DAL,2005,308,4814,31,21,6,95,26,0,190,11,0,0,0,0
DEN,2005,258,5006,30,14,4,81,36,0,176,11,0,0,0,1
DET,2005,345,5158,34,24,6,72,31,0,184,17,0,0,0,0
GB,2005,344,4690,32,29,5,85,21,0,192,20,0,0,0,0
HOU,2005,431,5824,45,28,4,63,16,0,174,18,0,0,0,0
IND,2005,247,4913,26,19,8,67,31,0,167,16,0,0,0,1
JAX,2005,269,4655,26,20,7,88,28,0,185,16,0,0,0,1
KC,2005,325,5249,36,20,6,69,31,0,177,15,0,0,0,0
LV,2005,383,5292,36,35,3,76,19,1,184,14,0,0,0,0
LAC,2005,312,4948,34,20,9,78,20,1,188,26,0,0,0,0
LAR,2005,429,5602,48,26,7,68,27,0,193,17,0,0,0,0
MIA,2005,317,5078,34,24,0,92,31,1,196,14,0,0,0,0
MIN,2005,344,5173,37,28,5,72,35,1,189,11,0,0,0,0
NE,2005,338,5283,36,24,6,81,18,1,182,16,0,0,0,1
NO,2005,398,4994,36,31,8,76,19,2,179,7,0,0,0,0
NYG,2005,314,5240,32,21,9,88,37,0,200,13,0,0,0,0
NYJ,2005,355,4940,36,30,5,62,28,0,184,23,0,0,0,1
PHI,2005,388,5206,39,22,5,104,27,0,209,12,0,0,0,0
PIT,2005,258,4544,25,24,6,80,30,0,181,16,0,0,0,1
SF,2005,428,6259,47,29,7,71,26,0,201,21,0,0,0,0
SEA,2005,271,5069,23,34,8,77,27,0,187,18,0,0,0,1
TB,2005,274,4444,25,26,7,80,30,0,184,16,0,0,0,1
TEN,2005,421,5110,45,21,6,85,20,0,195,18,0,0,0,0
WAS,2005,293,4767,30,22,9,88,28,1,196,18,0,0,0,1
ARI,2006,389,5591,37,31,3,58,33,1,181,18,0,0,0,0
ATL,2006,328,5325,34,23,6,77,26,0,179,13,0,0,0,0
BAL,2006,201,4225,21,17,6,86,40,1,195,24,0,0,0,1
BUF,2006,311,5273,32,22,4,86,24,1,187,18,0,0,0,0
CAR,2006,305,4737,32,24,6,98,22,0,195,13,0,0,0,0
CHI,2006,255,4706,25,18,9,100,44,0,209,13,0,0,0,1
CIN,2006,331,5681,39,18,7,72,31,0,186,19,0,0,0,0
CLE,2006,356,5515,34,26,5,77,27,0,193,24,0,0,0,0
DAL,2006,350,5165,37,22,3,72,31,2,183,16,0,0,0,1
DEN,2006,305,5220,26,34,8,74,30,0,184,12,0,0,0,0
DET,2006,398,5530,40,30,3,68,30,0,185,14,0,0,0,0
GB,2006,366,5134,37,26,1,83,33,0,201,21,0,0,0,0
HOU,2006,366,5400,38,25,4,65,22,0,168,14,0,0,0,0
IND,2006,360,5316,36,24,11,47,26,0,156,12,0,0,0,1
